id	title	description	link	image_link	additional_image_link	availability	price	brand	condition	google_product_category	item_group_id	color	size	gender	age_group	expiration_date
972e4ed9-0030-429d-85f9-5b425150bcb4_14	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_f3da6b96a8d742d7b4c2f6a0a4b442c2~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Granite	L	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_15	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_382ea83a35ac4fa9911d207ec518d598~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Pepper	L	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_16	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_c361291e5dbd421eaf0fa5fe447815a1~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	White	XL	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_17	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_fba83e42ef5943a8b71097e5373cc7e3~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Blossom	XL	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_18	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_f3da6b96a8d742d7b4c2f6a0a4b442c2~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Granite	XL	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_19	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_382ea83a35ac4fa9911d207ec518d598~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Pepper	XL	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_20	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_c361291e5dbd421eaf0fa5fe447815a1~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	White	2XL	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_21	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_fba83e42ef5943a8b71097e5373cc7e3~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Blossom	2XL	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_22	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_f3da6b96a8d742d7b4c2f6a0a4b442c2~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Granite	2XL	female	adult	2026-04-22
972e4ed9-0030-429d-85f9-5b425150bcb4_23	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	Sun, Sand, and Skulls: The Lake Erie Loot Crew Floral Tank	https://www.lakeerieclothing.com/product-page/sun-sand-and-skulls-the-lake-erie-loot-crew-floral-tank	https://static.wixstatic.com/media/e35453_382ea83a35ac4fa9911d207ec518d598~mv2.png		in stock	32.00 USD	Lake Erie Clothing Company	new	Apparel & Accessories > Clothing > Shirts & Tops	972e4ed9-0030-429d-85f9-5b425150bcb4	Pepper	2XL	female	adult	2026-04-22
